,Director,No. of critics for reviews,Duration,No. of Facebook likes for Director,No. of Facebook likes for Actor 3,Actor 2,No. of Facebook likes for Actor 1,Gross Revenue,Actor 1,No. of users who voted,Total Facebook likes for cast,Actor 3,No. of users for reviews,Language,Country,Content Rating,Budget,No. of Facebook likes for Actor 2,IMDb Score,Aspect Ratio,No. of Facebook likes for Movie,Release Date,Studio,Title,Average Metacritic Score
1,Christopher Nolan,813.0,164.0,22000.0,23000.0,Christian Bale,27000.0,448130642.0,Tom Hardy,1144337,106759,Joseph Gordon-Levitt,2701.0,English,USA,PG-13,250000000.0,23000.0,8.5,2.35,164000,07/20/2012,Warner Bros. Pictures,The Dark Knight Rises,77.77777777777777
2,Andrew Stanton,462.0,132.0,475.0,530.0,Samantha Morton,640.0,73058679.0,Daryl Sabara,212204,1873,Polly Walker,738.0,English,USA,PG-13,263700000.0,632.0,6.6,2.35,24000,03/09/2012,Walt Disney Pictures,John Carter,53.906976744186046
3,Sam Raimi,392.0,156.0,0.0,4000.0,James Franco,24000.0,336530303.0,J.K. Simmons,383056,46055,Kirsten Dunst,1902.0,English,USA,PG-13,258000000.0,11000.0,6.2,2.35,0,05/04/2007,Sony Pictures,Spider-Man 3,62.95
4,Nathan Greno,324.0,100.0,15.0,284.0,Donna Murphy,799.0,200807262.0,Brad Garrett,294810,2036,M.C. Gainey,387.0,English,USA,PG,260000000.0,553.0,7.8,1.85,29000,11/24/2010,Walt Disney Pictures,Tangled,73.17647058823529
5,Joss Whedon,635.0,141.0,0.0,19000.0,Robert Downey Jr.,26000.0,458991599.0,Chris Hemsworth,462669,92000,Scarlett Johansson,1117.0,English,USA,PG-13,250000000.0,21000.0,7.5,2.35,118000,05/01/2015,Walt Disney Pictures,Avengers: Age of Ultron,68.6938775510204
6,David Yates,375.0,153.0,282.0,10000.0,Daniel Radcliffe,25000.0,301956980.0,Alan Rickman,321795,58753,Rupert Grint,973.0,English,UK,PG,250000000.0,11000.0,7.5,2.35,10000,07/15/2009,Warner Bros. Pictures,Harry Potter and the Half-Blood Prince,78.47222222222223
7,Zack Snyder,673.0,183.0,0.0,2000.0,Lauren Cohan,15000.0,330249062.0,Henry Cavill,371639,24450,Alan D. Purwin,3018.0,English,USA,PG-13,250000000.0,4000.0,6.9,2.35,197000,03/23/2016,Warner Bros. Pictures,Batman v Superman: Dawn of Justice,48.529411764705884
8,Bryan Singer,434.0,169.0,0.0,903.0,Marlon Brando,18000.0,200069408.0,Kevin Spacey,240396,29991,Frank Langella,2367.0,English,USA,PG-13,209000000.0,10000.0,6.1,2.35,0,06/28/2006,Warner Bros. Pictures,Superman Returns,73.35
9,Marc Forster,403.0,106.0,395.0,393.0,Mathieu Amalric,451.0,168368427.0,Giancarlo Giannini,330784,2023,Rory Kinnear,1243.0,English,UK,PG-13,200000000.0,412.0,6.7,2.35,0,11/14/2008,Sony/MGM,Quantum of Solace,62.27083333333334
10,Gore Verbinski,313.0,151.0,563.0,1000.0,Orlando Bloom,40000.0,423032628.0,Johnny Depp,522040,48486,Jack Davenport,1832.0,English,USA,PG-13,225000000.0,5000.0,7.3,2.35,5000,07/07/2006,Buena Vista,Pirates of the Caribbean: Dead Man's Chest,57.02702702702703
11,Gore Verbinski,450.0,150.0,563.0,1000.0,Ruth Wilson,40000.0,89289910.0,Johnny Depp,181792,45757,Tom Wilkinson,711.0,English,USA,PG-13,215000000.0,2000.0,6.5,2.35,48000,07/03/2013,Walt Disney Pictures,The Lone Ranger,43.88888888888889
12,Zack Snyder,733.0,143.0,0.0,748.0,Christopher Meloni,15000.0,291021565.0,Henry Cavill,548573,20495,Harry Lennix,2536.0,English,USA,PG-13,225000000.0,3000.0,7.2,2.35,118000,06/14/2013,Warner Bros. Pictures,Man of Steel,60.0
13,Andrew Adamson,258.0,150.0,80.0,201.0,Pierfrancesco Favino,22000.0,141614023.0,Peter Dinklage,149922,22697,Damián Alcázar,438.0,English,USA,PG,225000000.0,216.0,6.6,2.35,0,05/16/2008,Walt Disney Pictures,The Chronicles of Narnia: Prince Caspian,65.61764705882354
14,Joss Whedon,703.0,173.0,0.0,19000.0,Robert Downey Jr.,26000.0,623279547.0,Chris Hemsworth,995415,87697,Scarlett Johansson,1722.0,English,USA,PG-13,220000000.0,21000.0,8.1,1.85,123000,08/14/1998,Warner Bros. Pictures,The Avengers,56.016129032258064
15,Rob Marshall,448.0,136.0,252.0,1000.0,Sam Claflin,40000.0,241063875.0,Johnny Depp,370704,54083,Stephen Graham,484.0,English,USA,PG-13,250000000.0,11000.0,6.7,2.35,58000,05/20/2011,Walt Disney Pictures,Pirates of the Caribbean: On Stranger Tides,50.641025641025635
16,Peter Jackson,422.0,164.0,0.0,773.0,Adam Brown,5000.0,255108370.0,Aidan Turner,354228,9152,James Nesbitt,802.0,English,New Zealand,PG-13,250000000.0,972.0,7.5,2.35,65000,12/17/2014,Warner Bros.,The Hobbit: The Battle of the Five Armies,62.71739130434783
17,Marc Webb,599.0,153.0,464.0,963.0,Andrew Garfield,15000.0,262030663.0,Emma Stone,451803,28489,Chris Zylka,1225.0,English,USA,PG-13,230000000.0,10000.0,7.0,2.35,56000,07/03/2012,Sony Pictures,The Amazing Spider-Man,68.71428571428571
18,Ridley Scott,343.0,156.0,0.0,738.0,William Hurt,891.0,105219735.0,Mark Addy,211765,3244,Scott Grimes,546.0,English,USA,PG-13,200000000.0,882.0,6.7,2.35,17000,05/14/2010,Universal,Robin Hood,52.15584415584416
19,Peter Jackson,509.0,186.0,0.0,773.0,Adam Brown,5000.0,258355354.0,Aidan Turner,483540,9152,James Nesbitt,951.0,English,USA,PG-13,225000000.0,972.0,7.9,2.35,83000,12/13/2013,Warner Bros.,The Hobbit: The Desolation of Smaug,67.52272727272727
20,Chris Weitz,251.0,113.0,129.0,1000.0,Eva Green,16000.0,70083519.0,Christopher Lee,149019,24106,Kristin Scott Thomas,666.0,English,USA,PG-13,180000000.0,6000.0,6.1,2.35,0,12/07/2007,New Line Cinema,The Golden Compass,55.30303030303031
