SalePrice,GrLivArea,OverallQual,SaleCondition,BldgType,YearBuilt,GarageCars,LotArea,HeatingQC,KitchenQual,MiscVal,YearRemodAdd,YrSold,RoofStyle,SaleType
208500,1710,7,1,1,2003,2,8450,5,4,0,2003,2008,2,1
181500,1262,6,1,1,1976,2,9600,5,3,0,1976,2007,2,1
223500,1786,7,1,1,2001,2,11250,5,4,0,2002,2008,2,1
140000,1717,7,2,1,1915,3,9550,4,4,0,1970,2006,2,1
250000,2198,8,1,1,2000,3,14260,5,4,0,2000,2008,2,1
143000,1362,5,1,1,1993,2,14115,5,3,700,1995,2009,2,1
307000,1694,8,1,1,2004,2,10084,5,4,0,2005,2007,2,1
200000,2090,7,1,1,1973,2,10382,5,3,350,1973,2009,2,1
129900,1774,7,2,1,1931,2,6120,4,3,0,1950,2008,2,1
118000,1077,5,1,2,1939,1,7420,5,3,0,1950,2008,2,1
129500,1040,5,1,1,1965,1,11200,5,3,0,1965,2008,4,1
345000,2324,9,6,1,2005,3,11924,5,5,0,2006,2006,4,4
144000,912,5,1,1,1962,1,12968,3,3,0,1962,2008,4,1
279500,1494,7,6,1,2006,3,10652,5,4,0,2007,2007,2,4
157000,1253,6,1,1,1960,1,10920,3,3,0,1960,2008,4,1
132000,854,7,1,1,1929,2,6120,5,3,0,2001,2007,2,1
149000,1004,6,1,1,1970,2,11241,5,3,700,1970,2010,2,1
90000,1296,4,1,3,1967,2,10791,3,3,500,1967,2006,2,1
159000,1114,5,1,1,2004,2,13695,5,4,0,2004,2008,2,1
139000,1339,5,2,1,1958,1,7560,3,3,0,1965,2009,4,5
325300,2376,8,6,1,2005,3,14215,5,4,0,2006,2006,2,4
139400,1108,7,1,1,1930,1,7449,5,4,0,1950,2007,2,1
230000,1795,8,1,1,2002,2,9742,5,4,0,2002,2008,4,1
129900,1060,5,1,4,1976,2,4224,3,3,0,1976,2007,2,1
154000,1060,5,1,1,1968,1,8246,5,4,0,2001,2010,2,1
256300,1600,8,1,1,2007,3,14230,5,4,0,2007,2009,2,1
134800,900,5,1,1,1951,2,7200,3,4,0,2000,2010,2,1
306000,1704,8,1,1,2007,3,11478,5,4,0,2008,2010,2,1
207500,1600,5,1,1,1957,1,16321,3,3,0,1997,2006,2,1
68500,520,4,1,1,1927,1,6324,2,2,0,1950,2008,2,1
40000,1317,4,1,1,1920,1,8500,3,3,0,1950,2008,3,1
149350,1228,5,1,1,1966,1,8544,4,4,0,2006,2008,2,1
179900,1234,8,1,1,2007,2,11049,5,4,0,2007,2008,2,1
165500,1700,5,1,1,1959,2,10552,4,4,0,1959,2010,4,1
277500,1561,9,1,4,2005,2,7313,5,5,0,2005,2007,4,1
309000,2452,8,1,1,2004,3,13418,5,4,0,2005,2006,2,1
145000,1097,5,1,1,1994,2,10859,5,3,0,1995,2009,2,1
153000,1297,5,1,1,1954,2,8532,4,3,0,1990,2009,4,1
109000,1057,5,2,1,1953,1,7922,3,4,0,2007,2010,2,1
82000,1152,4,3,3,1955,0,6040,3,2,0,1955,2008,2,1
160000,1324,6,2,1,1965,2,8658,5,3,0,1965,2006,2,1
170000,1328,5,1,1,1959,1,16905,4,3,0,1959,2007,2,1
144000,884,5,1,1,1983,2,9180,4,4,0,1983,2007,2,1
130250,938,5,1,1,1975,1,9200,3,3,0,1980,2008,4,1
141000,1150,5,1,1,1959,1,7945,5,3,0,1959,2006,2,1
319900,1752,9,1,4,2005,2,7658,5,5,0,2005,2010,4,1
239686,2149,7,2,1,2003,2,12822,5,4,0,2003,2009,2,1
249700,1656,8,1,1,2006,3,11096,5,4,0,2006,2007,2,1
113000,1452,4,6,2,1920,0,4456,4,3,0,2008,2009,2,4
127000,955,5,1,1,1966,1,7742,5,3,0,1966,2007,2,1
177000,1470,6,1,1,1997,2,13869,4,3,0,1997,2007,2,1
114500,1176,6,1,1,1934,2,6240,3,3,400,1950,2006,2,1
110000,816,5,1,3,1963,2,8472,3,3,0,1963,2010,2,1
385000,1842,9,1,1,1981,3,50271,4,4,0,1987,2006,2,1
130000,1360,5,1,1,1955,2,7134,3,3,0,1955,2007,2,1
180500,1425,6,1,1,1964,2,10175,4,3,0,1964,2008,2,1
172500,1739,8,2,5,1999,2,2645,5,4,0,2000,2009,2,1
196500,1720,7,1,1,2004,2,11645,5,4,0,2004,2006,2,1
438780,2945,10,6,1,2006,3,13682,5,4,0,2006,2006,4,4
124900,780,5,1,1,1972,1,7200,5,3,0,1972,2008,2,1
158000,1158,6,6,1,2004,2,13072,5,4,0,2004,2006,2,4
101000,1111,5,1,1,1920,1,7200,3,2,0,1996,2007,2,1
202500,1370,8,1,4,2006,2,6442,5,4,0,2006,2007,2,1
140000,1710,7,1,1,1921,2,10300,4,3,0,1950,2010,2,1
219500,2034,7,1,1,1997,2,9375,5,4,0,1998,2009,2,1
317000,2473,8,1,1,2004,3,9591,5,4,0,2005,2007,2,1
180000,2207,7,1,1,1970,2,19900,3,3,0,1989,2010,2,1
226000,1479,7,1,1,2003,2,10665,5,4,0,2003,2007,2,1
80000,747,4,1,1,1945,1,4608,3,3,0,1950,2010,2,1
225000,2287,7,1,1,1953,2,15593,3,3,0,1953,2006,2,1
244000,2223,7,1,1,1973,2,13651,5,3,0,1973,2007,2,1
129500,845,4,1,1,1982,2,7599,3,3,0,2006,2007,2,1
185000,1718,7,1,1,1998,2,10141,4,3,0,1998,2009,2,1
144900,1086,5,1,1,1954,2,10200,4,3,0,2003,2010,2,1
107400,1605,3,1,1,1915,1,5790,4,3,0,1950,2010,3,1
91000,988,4,1,5,1973,1,1596,3,3,0,1973,2009,2,1
135750,952,4,1,1,1956,1,8475,5,3,0,1956,2008,2,1
127000,1285,5,1,1,1948,1,8635,3,3,0,2001,2008,2,1
136500,1768,4,1,3,1968,0,10778,3,3,0,1968,2010,4,1
110000,1230,5,1,1,1910,2,10440,4,3,0,1981,2009,2,1
193500,2142,6,1,1,1968,1,13000,3,4,0,1968,2009,2,1
153500,1337,6,1,4,1998,2,4500,5,3,0,1998,2006,4,1
245000,1563,8,1,1,2007,3,10206,5,4,0,2007,2008,2,1
126500,1065,5,1,1,1960,2,8892,4,3,0,1960,2007,2,5
168500,1474,7,1,1,1995,2,8530,4,3,700,1996,2009,2,1
260000,2417,8,1,1,1991,2,16059,5,4,0,1992,2006,4,1
174000,1560,6,1,1,2005,2,11911,5,4,0,2005,2009,2,1
164500,1224,6,6,4,2009,2,3951,5,4,0,2009,2009,2,4
85000,1526,3,2,1,1915,0,8470,3,2,0,1982,2009,4,9
123600,990,4,1,1,1994,0,8070,5,3,0,1995,2007,2,1
109900,1040,4,1,1,1950,2,7200,3,3,0,1950,2006,2,1
98600,1235,5,2,1,1961,2,8500,3,3,0,1961,2006,4,1
163500,964,5,1,1,1921,2,13360,5,3,0,2006,2009,2,1
133900,2291,6,1,2,1910,2,7200,5,3,0,1998,2007,4,1
204750,1786,6,1,1,1997,2,9337,5,4,0,1997,2007,2,1
185000,1470,6,1,1,1993,2,9765,4,3,480,1993,2009,2,1
214000,1588,7,1,1,1999,2,10264,5,4,0,1999,2006,2,1
94750,960,4,1,1,1965,1,10921,3,3,0,1965,2007,4,1
83000,835,5,2,1,1920,1,10625,2,3,400,1950,2010,2,5
128950,1225,4,1,1,1959,0,9320,2,3,400,1959,2010,2,1
205000,1610,6,1,1,1977,2,10603,4,4,0,2001,2010,2,1
178000,1732,6,1,1,1985,2,9206,3,4,0,1985,2010,2,1
118964,1535,5,4,3,1979,2,7018,3,3,0,1979,2009,2,1
198900,1226,7,1,1,2009,3,10402,5,4,0,2009,2010,2,1
169500,1818,7,1,1,1931,1,7758,5,3,0,1950,2007,2,1
250000,1992,8,1,1,2003,2,9375,5,4,0,2004,2008,4,1
100000,1047,4,1,1,1885,1,10800,4,3,450,1995,2007,5,1
115000,789,5,6,1,1948,1,6000,5,3,0,1950,2008,2,1
115000,1517,5,1,1,1919,0,8500,3,2,0,2005,2007,2,1
190000,1844,6,1,1,1977,2,11751,5,3,0,1977,2010,4,5
136900,1855,6,1,1,1954,1,9525,4,3,0,1972,2006,2,1
180000,1430,7,1,1,2000,2,7750,5,3,0,2000,2010,2,1
383970,2696,7,6,1,2007,3,9965,5,5,0,2007,2007,2,4
217000,2259,6,2,1,1953,2,21000,3,4,0,1953,2007,4,5
259500,2320,6,1,1,1945,1,7259,5,4,0,2002,2007,3,1
176000,1458,6,1,4,1999,2,3230,4,3,0,1999,2007,2,1
139000,1092,5,1,1,1962,1,11616,3,3,0,1962,2009,2,1
155000,1125,5,6,1,2006,2,8536,4,3,0,2007,2007,2,4
320000,3222,7,1,1,1990,3,12376,4,4,0,1990,2010,4,1
163990,1456,6,6,1,2005,2,8461,5,4,0,2006,2006,2,4
180000,988,6,1,1,1969,2,21453,5,3,0,1969,2006,1,1
100000,1123,4,1,1,1939,1,6060,4,3,0,1950,2007,2,1
136000,1080,6,1,1,1958,1,9464,4,3,0,1958,2008,4,1
153900,1199,6,1,4,1993,2,7892,5,4,0,1993,2008,2,1
181000,1586,6,1,1,1979,2,17043,3,3,0,1998,2009,2,1
84500,754,6,1,2,1935,0,6780,4,3,0,1982,2006,2,1
128000,958,6,1,4,1976,2,4928,3,3,0,1976,2007,2,1
87000,840,5,1,1,1930,0,4388,5,3,0,1950,2007,2,1
155000,1348,6,1,1,1966,2,7590,3,3,0,1966,2006,2,1
150000,1053,5,2,1,1958,2,8973,3,5,0,1991,2006,2,1
226000,2157,7,1,1,1966,2,14200,5,4,0,1966,2006,2,1
244000,2054,6,1,1,2000,2,12224,5,4,0,2000,2009,2,1
150750,1327,5,1,1,1959,2,7388,4,4,0,2002,2007,2,1
220000,1296,8,1,1,2001,2,6853,5,4,0,2002,2009,2,1
180000,1721,5,1,1,1968,2,10335,4,3,0,1993,2006,2,1
174000,1682,7,1,1,1970,2,10400,4,3,0,1970,2008,4,1
143000,1214,5,1,1,1967,1,10355,3,3,0,1967,2007,2,1
171000,1959,7,5,3,1988,3,11070,4,3,0,1989,2006,2,1
