,Entity,Code,Year,HDI
17,Afghanistan,AFG,2017,0.498
47,Albania,ALB,2017,0.785
75,Algeria,DZA,2017,0.754
93,Andorra,AND,2017,0.858
112,Angola,AGO,2017,0.581
125,Antigua and Barbuda,ATG,2017,0.78
155,Argentina,ARG,2017,0.825
183,Armenia,ARM,2017,0.755
211,Australia,AUS,2017,0.9390000000000001
241,Austria,AUT,2017,0.9079999999999999
264,Azerbaijan,AZE,2017,0.757
282,Bahamas,BHS,2017,0.807
312,Bahrain,BHR,2017,0.846
342,Bangladesh,BGD,2017,0.608
372,Barbados,BRB,2017,0.8
395,Belarus,BLR,2017,0.8079999999999999
425,Belgium,BEL,2017,0.9159999999999999
453,Belize,BLZ,2017,0.708
483,Benin,BEN,2017,0.515
496,Bhutan,BTN,2017,0.612
524,Bolivia,BOL,2017,0.693
542,Bosnia and Herzegovina,BIH,2017,0.768
572,Botswana,BWA,2017,0.7170000000000001
602,Brazil,BRA,2017,0.759
631,Brunei,BRN,2017,0.853
661,Bulgaria,BGR,2017,0.813
679,Burkina Faso,BFA,2017,0.423
709,Burundi,BDI,2017,0.41700000000000004
737,Cambodia,KHM,2017,0.5820000000000001
767,Cameroon,CMR,2017,0.556
796,Canada,CAN,2017,0.9259999999999999
814,Cape Verde,CPV,2017,0.654
844,Central African Republic,CAF,2017,0.36700000000000005
862,Chad,TCD,2017,0.40399999999999997
892,Chile,CHL,2017,0.843
922,China,CHN,2017,0.752
952,Colombia,COL,2017,0.747
966,Comoros,COM,2017,0.503
996,Congo,COG,2017,0.606
1026,Costa Rica,CRI,2017,0.794
1056,Cote d'Ivoire,CIV,2017,0.49200000000000005
1084,Croatia,HRV,2017,0.831
1114,Cuba,CUB,2017,0.777
1144,Cyprus,CYP,2017,0.8690000000000001
1172,Czech Republic,CZE,2017,0.888
1201,Democratic Republic of Congo,COD,2017,0.457
1231,Denmark,DNK,2017,0.929
1254,Djibouti,DJI,2017,0.47600000000000003
1272,Dominica,DMA,2017,0.715
1301,Dominican Republic,DOM,2017,0.736
1331,Ecuador,ECU,2017,0.752
1361,Egypt,EGY,2017,0.696
1390,El Salvador,SLV,2017,0.674
1408,Equatorial Guinea,GNQ,2017,0.591
1421,Eritrea,ERI,2017,0.44
1449,Estonia,EST,2017,0.871
1467,Ethiopia,ETH,2017,0.46299999999999997
1497,Fiji,FJI,2017,0.741
1527,Finland,FIN,2017,0.92
1557,France,FRA,2017,0.9009999999999999
1587,Gabon,GAB,2017,0.7020000000000001
1615,Gambia,GMB,2017,0.46
1633,Georgia,GEO,2017,0.78
1661,Germany,DEU,2017,0.9359999999999999
1691,Ghana,GHA,2017,0.5920000000000001
1721,Greece,GRC,2017,0.87
1737,Grenada,GRD,2017,0.772
